Please wait while I teach myself to play Sim-5.
This may take a few minutes.
14883
Elapsed time: 313.745809
I'm ready to play. You go first.

         1054912572 function calls (1054893732 primitive calls) in 314.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      781    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.023    0.023 message.py:1(<module>)
      723    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    53/45    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
    53/45    0.007    0.000    0.020    0.000 {built-in method _imp.exec_dynamic}
    17472    0.017    0.000    0.020    0.000 {built-in method builtins.max}
        5    0.000    0.000    0.019    0.004 utils.py:1(<module>)
      623    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
    54874    0.018    0.000    0.018    0.000 {method 'append' of 'list' objects}
     1108    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
  595/583    0.007    0.000    0.018    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.017    0.017 _pickle.py:1(<module>)
    41793    0.017    0.000    0.017    0.000 {built-in method builtins.iter}
    18343    0.015    0.000    0.015    0.000 {built-in method builtins.min}
      554    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
    47217    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.013    0.013 decorators.py:1(<module>)
        2    0.000    0.000    0.013    0.006 _matfuncs.py:1(<module>)
     1161    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.012    0.012 multiarray.py:1(<module>)
      169    0.000    0.000    0.012    0.000 __init__.py:272(_compile)
      607    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        2    0.000    0.000    0.011    0.006 _distributor_init.py:1(<module>)
       39    0.000    0.000    0.011    0.000 __init__.py:225(compile)
       43    0.000    0.000    0.011    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.011    0.011 overrides.py:1(<module>)
    51143    0.010    0.000    0.010    0.000 fromnumeric.py:2183(_sum_dispatcher)
        1    0.000    0.000    0.010    0.010 traveling_salesman.py:1(<module>)
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
        1    0.000    0.000    0.008    0.008 zipfile.py:1(<module>)
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
39887/39629    0.008    0.000    0.008    0.000 {built-in method builtins.len}
    44942    0.008    0.000    0.008    0.000 function_base.py:867(_copy_dispatcher)
        1    0.000    0.000    0.008    0.008 iterative.py:1(<module>)
        1    0.000    0.000    0.008    0.008 socket.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _misc.py:1(<module>)
       43    0.000    0.000    0.007    0.000 _parser.py:970(parse)
      314    0.001    0.000    0.007    0.000 overrides.py:170(decorator)
        2    0.000    0.000    0.007    0.003 _basic.py:1(<module>)
       58    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        2    0.000    0.000    0.007    0.003 shape_base.py:1(<module>)
   109/43    0.000    0.000    0.007    0.000 _parser.py:447(_parse_sub)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
   138/45    0.003    0.000    0.006    0.000 _parser.py:507(_parse)
      642    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
      881    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        1    0.000    0.000    0.006    0.006 gexf.py:1(<module>)
      554    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
      607    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        2    0.000    0.000    0.005    0.003 version.py:1(<module>)
       58    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
    11549    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
     1108    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1393    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        2    0.000    0.000    0.005    0.002 abc.py:1(<module>)
        1    0.000    0.000    0.005    0.005 charset.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:32(__enter__)
        1    0.000    0.000    0.005    0.005 __init__.py:335(_sanity_check)
       58    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
        1    0.005    0.005    0.005    0.005 {method 'dot' of 'numpy.ndarray' objects}
    27684    0.005    0.000    0.005    0.000 fromnumeric.py:2328(_any_dispatcher)
        1    0.000    0.000    0.005    0.005 branchings.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _csr.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
        1    0.000    0.000    0.004    0.004 graph_hashing.py:1(<module>)
      751    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      861    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
      607    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.004    0.004 py3k.py:1(<module>)
    23459    0.004    0.000    0.004    0.000 multiarray.py:345(where)
        2    0.000    0.000    0.004    0.002 _version.py:1(<module>)
        1    0.000    0.000    0.004    0.004 chordal.py:1(<module>)
      284    0.001    0.000    0.004    0.000 overrides.py:88(verify_matching_signatures)
        1    0.000    0.000    0.004    0.004 ElementTree.py:1(<module>)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        2    0.000    0.000    0.004    0.002 misc.py:1(<module>)
       43    0.000    0.000    0.004    0.000 _compiler.py:571(_code)
     3961    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.003    0.003 maxflow.py:1(<module>)
        1    0.000    0.000    0.003    0.003 betweenness.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _lil.py:1(<module>)
        1    0.000    0.000    0.003    0.003 gml.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _pep440.py:1(<module>)
     1393    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.003    0.003 lapack.py:1(<module>)
        1    0.000    0.000    0.003    0.003 lzma.py:1(<module>)
        1    0.000    0.000    0.003    0.003 linalg.py:1(<module>)
      406    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
      618    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
   241/43    0.001    0.000    0.003    0.000 _compiler.py:37(_compile)
        3    0.000    0.000    0.003    0.001 _add_newdocs.py:1(<module>)
       58    0.000    0.000    0.003    0.000 <frozen zipimport>:64(__init__)
