Please wait while I teach myself to play Sim-4.
This may take a few minutes.
263
Elapsed time: 0.109792
I'm ready to play. You go first.

         569823 function calls (562472 primitive calls) in 0.823 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.005    0.000    1.726    0.030 __init__.py:1(<module>)
    577/1    0.004    0.000    0.823    0.823 {built-in method builtins.exec}
        1    0.000    0.000    0.823    0.823 sim.py:1(<module>)
    642/5    0.005    0.000    0.713    0.143 <frozen importlib._bootstrap>:1165(_find_and_load)
    640/5    0.003    0.000    0.713    0.143 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    623/6    0.002    0.000    0.709    0.118 <frozen importlib._bootstrap>:666(_load_unlocked)
    554/6    0.002    0.000    0.709    0.118 <frozen importlib._bootstrap_external>:934(exec_module)
  1463/11    0.001    0.000    0.706    0.064 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   480/27    0.001    0.000    0.681    0.025 {built-in method builtins.__import__}
   675/51    0.001    0.000    0.670    0.013 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      554    0.006    0.000    0.316    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
      554    0.002    0.000    0.198    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      632    0.006    0.000    0.138    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      554    0.138    0.000    0.138    0.000 {built-in method io.open_code}
      616    0.001    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      616    0.002    0.000    0.125    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
4288/3613    0.001    0.000    0.116    0.000 {built-in method builtins.hasattr}
      821    0.009    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.115    0.115 _orthogonal.py:1(<module>)
      3/1    0.000    0.000    0.114    0.114 __init__.py:198(__getattr__)
      3/1    0.000    0.000    0.114    0.114 __init__.py:108(import_module)
      3/1    0.000    0.000    0.114    0.114 <frozen importlib._bootstrap>:1192(_gcd_import)
  623/622    0.001    0.000    0.113    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.110    0.110 sim.py:97(__init__)
        1    0.000    0.000    0.110    0.110 sim.py:109(initialize_evaluation_graph)
    235/1    0.011    0.000    0.109    0.109 sim.py:138(add_eg_children)
        1    0.000    0.000    0.092    0.092 backends.py:1(<module>)
    53/52    0.000    0.000    0.088    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
    53/52    0.087    0.002    0.087    0.002 {built-in method _imp.create_dynamic}
     2214    0.001    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2217    0.082    0.000    0.082    0.000 {built-in method nt.stat}
      554    0.002    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      554    0.077    0.000    0.077    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.071    0.071 _sketches.py:1(<module>)
      554    0.050    0.000    0.050    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.049    0.025 _adapters.py:1(<module>)
    82939    0.021    0.000    0.044    0.000 <frozen _collections_abc>:859(__iter__)
        1    0.000    0.000    0.044    0.044 decorators.py:1(<module>)
        1    0.000    0.000    0.043    0.043 message.py:1(<module>)
     3961    0.026    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        5    0.000    0.000    0.035    0.007 utils.py:1(<module>)
        1    0.000    0.000    0.032    0.032 _laplacian.py:1(<module>)
      235    0.005    0.000    0.031    0.000 sim.py:117(add_eg_children_prelude)
  595/583    0.013    0.000    0.030    0.000 {built-in method builtins.__build_class__}
      781    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      723    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.024    0.024 pathlib.py:1(<module>)
    53/45    0.000    0.000    0.024    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    53/45    0.009    0.000    0.024    0.001 {built-in method _imp.exec_dynamic}
      799    0.013    0.000    0.023    0.000 sim.py:20(__init__)
      623    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
    82667    0.018    0.000    0.023    0.000 reportviews.py:188(__getitem__)
     1108    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      562    0.001    0.000    0.022    0.000 sim.py:124(prepare_next_board)
        1    0.000    0.000    0.017    0.017 _pickle.py:1(<module>)
      554    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
